Algorithm,Run_Index,Time_Enc_s,Time_Dec_s,NPCR_percent,UACI_percent,Entropy,Corr_Hor,Corr_Ver,Corr_Diag
DES-CBC (C),1,0.00077500,0.00067900,99.557495,33.511143,7.997146,0.029955,0.003738,-0.014408
AES-CBC (C),1,0.00007100,0.00003500,99.627686,33.455344,7.996975,0.016340,-0.013382,-0.042184
Blowfish-CBC (C),1,0.00049100,0.00038500,99.639893,33.603893,7.997343,0.007870,0.016822,0.002512
ChaCha20 (C),1,0.00008900,0.00002900,0.001526,0.000006,7.997394,-0.006270,-0.015752,-0.012114
DES-CBC (MATLAB*),1,1.07562700,0.01218600,98.793320,33.179496,7.990362,0.012486,0.029061,0.005541
AES-CBC (MATLAB*),1,0.43234400,0.01542300,99.618530,33.434682,7.997147,-0.009568,-0.024852,0.018167
Blowfish-CBC (MATLAB*),1,0.25770100,0.01019300,99.607849,33.606579,7.996876,-0.010057,0.020571,0.017707
ChaCha20 (MATLAB*),1,0.00747400,0.00665000,0.001526,0.000006,7.997218,0.022427,0.007694,-0.009753
Chaos Circular Shifts (MATLAB),1,0.01829200,0.02175100,99.583435,33.525570,7.997179,-0.008262,0.011646,0.002129
3D-Logistic-Chirikov (MATLAB),1,0.51674400,0.50775200,0.000000,0.000000,7.997453,-0.000674,0.013030,-0.012090
Chaos Bit Shuffling (MATLAB - Orig),1,2.12169100,2.35854400,99.574280,33.386422,7.997478,0.014835,-0.032400,-0.009697
Chaos Bit Shuffling (MATLAB* - Opt),1,0.26849100,0.20764000,99.597168,33.528065,7.996615,-0.003132,0.013448,-0.000728
Hyperchaotic and 2D Sensing (MATLAB*),1,0.02044500,0.00208500,99.681091,33.469705,7.996667,-0.015455,-0.005042,-0.009621
Hu & Tian - Two-Stage Logistic (MATLAB*),1,0.00704400,0.00567100,0.001526,0.000006,7.997528,0.005865,0.020360,0.017462
Hyperchaotic Adaptive (MATLAB*),1,0.29659800,0.32666400,99.638367,33.701064,7.984898,0.002670,-0.004610,0.007319
