Image,Algorithm,Run,Time_Enc,Time_Dec,Entropy,Corr_Avg
images/lena_gray_256.tif,DES-CBC (C),1,0.00075500,0.00066200,7.997160,-0.003226
images/lena_gray_256.tif,AES-CBC (C),1,0.00006400,0.00001200,7.997332,0.000211
images/lena_gray_256.tif,Blowfish-CBC (C),1,0.00040233,0.00035800,7.997283,-0.001293
images/lena_gray_256.tif,ChaCha20 (C),1,0.00003467,0.00001400,7.997389,-0.005561
images/lena_gray_256.tif,DES-CBC (MATLAB*),1,1.02574867,0.00411400,7.990650,0.020538
images/lena_gray_256.tif,AES-CBC (MATLAB*),1,0.40043500,0.01422600,7.997416,0.008139
images/lena_gray_256.tif,Blowfish-CBC (MATLAB*),1,0.23249367,0.00346500,7.997291,-0.000761
images/lena_gray_256.tif,ChaCha20 (MATLAB*),1,0.00675167,0.00634000,7.997255,-0.010258
images/lena_gray_256.tif,Chaos Circular Shifts (MATLAB),1,0.01493100,0.01711200,7.997183,-0.011410
images/lena_gray_256.tif,3D-Logistic-Chirikov (MATLAB),1,0.48272833,0.47451300,7.996987,0.001198
images/lena_gray_256.tif,Chaos Bit Shuffling (MATLAB - Orig),1,1.15507067,1.56468900,7.997080,-0.003996
images/lena_gray_256.tif,Chaos Bit Shuffling (MATLAB* - Opt),1,0.26379400,0.20132600,7.996662,0.002678
images/lena_gray_256.tif,Hyperchaotic and 2D Sensing (MATLAB*),1,0.01998233,0.00196600,7.997719,0.011297
images/lena_gray_256.tif,Hu & Tian - Two-Stage Logistic (MATLAB*),1,0.00688567,0.00530600,7.997468,0.000281
images/lena_gray_256.tif,Hyperchaotic Adaptive (MATLAB*),1,0.33702400,0.37742800,7.999365,0.003021
