Plik,Algorytm,Przebieg,Czas_Szyfr,Czas_Deszyfr,Entropia,Kor_Poz,Kor_Pion,Kor_Diag,Kor_Srednia
images/lena_gray_256.tif,DES-CBC (C),1,0.00070233,0.00065800,7.99722845,-0.00253407,-0.02326397,-0.00572053,-0.01050619
images/lena_gray_256.tif,AES-CBC (C),1,0.00005633,0.00001300,7.99727741,-0.01166537,-0.00263913,-0.01542895,-0.00991115
images/lena_gray_256.tif,Blowfish-CBC (C),1,0.00038700,0.00035200,7.99698997,-0.01136745,0.02441660,0.01002155,0.00769023
images/lena_gray_256.tif,ChaCha20 (C),1,0.00001833,0.00001400,7.99737322,-0.01308928,-0.03148068,0.00116184,-0.01446937
images/lena_gray_256.tif,DES-CBC (MATLAB*),1,1.07222300,0.00386300,7.98987514,-0.00922880,0.02528819,0.02112171,0.01239370
images/lena_gray_256.tif,AES-CBC (MATLAB*),1,0.39890167,0.01449100,7.99716753,-0.00923721,-0.00921501,-0.02165285,-0.01336836
images/lena_gray_256.tif,Blowfish-CBC (MATLAB*),1,0.25034733,0.00330900,7.99722334,0.02420951,0.00959813,-0.00810089,0.00856892
images/lena_gray_256.tif,ChaCha20 (MATLAB*),1,0.00739433,0.00651400,7.99728767,-0.01601433,-0.00910960,0.01116854,-0.00465180
images/lena_gray_256.tif,Chaos Circular Shifts (MATLAB),1,0.01585167,0.01810000,7.99718322,-0.00926910,-0.00845201,-0.00741521,-0.00837877
images/lena_gray_256.tif,3D-Logistic-Chirikov (MATLAB),1,0.53261000,0.58843500,7.99749006,0.00365890,0.01752862,0.01209701,0.01109484
images/lena_gray_256.tif,Chaos Bit Shuffling (MATLAB - Orig),1,1.15060133,1.54703100,7.99707954,-0.01618858,-0.00101825,-0.01320732,-0.01013805
images/lena_gray_256.tif,Chaos Bit Shuffling (MATLAB* - Opt),1,0.26223267,0.20124700,7.99666237,-0.00001869,-0.01562233,-0.00584549,-0.00716217
images/lena_gray_256.tif,Hyperchaotic and 2D Sensing (MATLAB*),1,0.01944100,0.00199000,7.99771915,0.01333575,0.00887157,-0.01120144,0.00366863
images/lena_gray_256.tif,Hu & Tian - Two-Stage Logistic (MATLAB*),1,0.00562933,0.00522600,7.99746774,-0.00158176,-0.01652086,0.00865597,-0.00314888
images/lena_gray_256.tif,Hyperchaotic Adaptive (MATLAB*),1,0.32197667,0.34776600,7.99936470,-0.00237232,0.01508364,-0.00555936,0.00238399
