Plik,Algorytm,Przebieg,NPCR_Poczatek,UACI_Poczatek,NPCR_Srodek,UACI_Srodek,NPCR_Koniec,UACI_Koniec
images/lena_gray_256.tif,DES-CBC (C),1,99.59259033,33.42056574,49.81842041,16.69291178,0.01220703,0.00363219
images/lena_gray_256.tif,AES-CBC (C),1,99.59869385,33.38674508,49.84283447,16.77925259,0.02441406,0.00892789
images/lena_gray_256.tif,Blowfish-CBC (C),1,99.59564209,33.32830092,49.81231689,16.75569422,0.01220703,0.00376383
images/lena_gray_256.tif,ChaCha20 (C),1,0.00152588,0.00000598,0.00152588,0.00000598,0.00152588,0.00000598
images/lena_gray_256.tif,DES-CBC (MATLAB*),1,98.85842329,33.23281378,49.45267907,16.67047548,0.02271041,0.00743952
images/lena_gray_256.tif,AES-CBC (MATLAB*),1,99.62921143,33.48908069,49.85351562,16.59486060,0.02441406,0.00889198
images/lena_gray_256.tif,Blowfish-CBC (MATLAB*),1,99.61853027,33.48078709,49.84741211,16.80725098,0.01220703,0.00347063
images/lena_gray_256.tif,ChaCha20 (MATLAB*),1,0.00152588,0.00000598,0.00152588,0.00000598,0.00152588,0.00000598
images/lena_gray_256.tif,Chaos Circular Shifts (MATLAB),1,99.60479736,33.31684187,99.61853027,33.38388480,99.60937500,33.46881941
images/lena_gray_256.tif,3D-Logistic-Chirikov (MATLAB),1,0.00000000,0.00000000,0.00152588,0.00076593,0.00457764,0.00040690
images/lena_gray_256.tif,Chaos Bit Shuffling (MATLAB - Orig),1,99.58648682,33.47686768,99.58648682,33.47707113,99.63531494,33.50337010
images/lena_gray_256.tif,Chaos Bit Shuffling (MATLAB* - Opt),1,99.62921143,33.66490383,99.62921143,33.66452086,99.63684082,33.58133353
images/lena_gray_256.tif,Hyperchaotic and 2D Sensing (MATLAB*),1,99.67651367,33.65188898,99.96337891,33.43175551,99.69940186,33.56589523
images/lena_gray_256.tif,Hu & Tian - Two-Stage Logistic (MATLAB*),1,0.00152588,0.00000598,0.00152588,0.00000598,0.00152588,0.00000598
images/lena_gray_256.tif,Hyperchaotic Adaptive (MATLAB*),1,99.60937500,33.50313673,99.62921143,33.53488099,99.60327148,33.57653450
