Algorithm,Run_Index,Time_Enc_s,Time_Dec_s,NPCR_percent,UACI_percent,Entropy,Corr_Hor,Corr_Ver,Corr_Diag
DES-CBC (C),1,0.00078800,0.00067700,99.623108,33.455410,7.997419,0.015917,0.002969,0.009257
AES-CBC (C),1,0.00007400,0.00003200,99.649048,33.351841,7.997643,-0.011575,0.014031,0.014408
Blowfish-CBC (C),1,0.00049400,0.00037300,99.630737,33.419931,7.996995,-0.021350,0.016790,-0.014798
ChaCha20 (C),1,0.00010000,0.00003000,0.001526,0.000006,7.997151,0.004861,-0.014062,-0.002229
DES-CBC (MATLAB*),1,1.16597100,0.01271800,98.872050,33.295578,7.990500,0.023636,0.048200,0.001595
AES-CBC (MATLAB*),1,0.50651900,0.02068900,99.594116,33.512454,7.997082,-0.017175,-0.006650,-0.021244
Blowfish-CBC (MATLAB*),1,0.27194300,0.00980600,99.591064,33.471494,7.997191,-0.007374,0.001828,0.022726
ChaCha20 (MATLAB*),1,0.00668500,0.00636500,0.001526,0.000006,7.997841,-0.013305,-0.007401,0.022105
Chaos Circular Shifts (MATLAB),1,0.01783200,0.02114600,99.583435,33.525570,7.997179,-0.010312,-0.019607,0.000520
3D-Logistic-Chirikov (MATLAB),1,0.50461500,0.51408500,0.000000,0.000000,7.997350,-0.011256,-0.004031,0.025132
Chaos Bit Shuffling (MATLAB - Orig),1,2.14496000,2.70955500,99.574280,33.386422,7.997478,-0.009683,-0.019468,0.007531
Chaos Bit Shuffling (MATLAB* - Opt),1,0.26925100,0.20644900,99.597168,33.528065,7.996615,0.010962,-0.002532,-0.005026
Hyperchaotic and 2D Sensing (MATLAB*),1,0.02001500,0.00200700,99.681091,33.469705,7.996667,0.005134,-0.016691,0.001645
Hu & Tian - Two-Stage Logistic (MATLAB*),1,0.00619400,0.00515200,0.001526,0.000006,7.997528,0.005074,-0.006228,-0.031027
Hyperchaotic Adaptive (MATLAB*),1,0.29954700,0.32961500,99.638367,33.701064,7.984898,0.019046,-0.014376,0.016009
