Plik,Algorytm,Przebieg,Czas_Szyfr,Czas_Deszyfr,Entropia,Kor_Poz,Kor_Pion,Kor_Diag,Kor_Srednia
images/texmos3.s512.tiff,ORIGINAL_IMAGE,0,0,0,2.98329304,0.99251702,0.99346312,0.98426845,0.99008286
images/texmos3.s512.tiff,DES-CBC (C),1,0.00279467,0.00247500,7.99923775,-0.01698232,0.03272655,-0.01657411,-0.00027663
images/texmos3.s512.tiff,AES-CBC (C),1,0.00019667,0.00003800,7.99917679,0.02088046,-0.01365556,0.01767683,0.00830058
images/texmos3.s512.tiff,Blowfish-CBC (C),1,0.00144233,0.00128300,7.99932721,-0.00187471,-0.00267250,0.00036048,-0.00139558
images/texmos3.s512.tiff,ChaCha20 (C),1,0.00005967,0.00004800,7.99924139,-0.01046607,0.00370964,0.00521224,-0.00051473
images/texmos3.s512.tiff,DES-CBC (MATLAB*),1,4.13474133,0.01223500,7.99735177,-0.00133485,0.01061069,0.01644501,0.00857361
images/texmos3.s512.tiff,AES-CBC (MATLAB*),1,1.63860500,0.05021000,7.99930358,0.01552429,-0.01350971,-0.00129622,0.00023945
images/texmos3.s512.tiff,Blowfish-CBC (MATLAB*),1,0.93675833,0.00964200,7.99932841,-0.00738653,0.00749603,0.01111496,0.00374149
images/texmos3.s512.tiff,ChaCha20 (MATLAB*),1,0.03122233,0.03034400,7.99927938,0.01217039,0.01358304,-0.01353797,0.00407182
images/texmos3.s512.tiff,Chaos Circular Shifts (MATLAB),1,0.05763067,0.07496800,7.99934416,0.00510020,0.01163486,0.00212848,0.00628785
images/texmos3.s512.tiff,3D-Logistic-Chirikov (MATLAB),1,2.07083100,2.17904100,7.99925934,0.00869281,-0.01639580,0.01572444,0.00267382
images/texmos3.s512.tiff,Chaos Bit Shuffling (MATLAB - Orig),1,5.40520800,8.20626000,7.99929803,-0.01329577,0.00753746,-0.00295412,-0.00290414
images/texmos3.s512.tiff,Chaos Bit Shuffling (MATLAB* - Opt),1,1.14667100,0.85692700,7.99932470,0.01766798,-0.02398790,-0.02411108,-0.01014367
images/texmos3.s512.tiff,Hyperchaotic and 2D Sensing (MATLAB*),1,0.08227600,0.00787300,7.99917192,-0.02821336,-0.00628613,-0.01533849,-0.01661266
images/texmos3.s512.tiff,Hu & Tian - Two-Stage Logistic (MATLAB*),1,0.03105233,0.02331200,7.99996003,0.02541971,-0.02303466,0.01228520,0.00489008
images/texmos3.s512.tiff,Hyperchaotic Adaptive (MATLAB*),1,1.19584067,1.31513500,7.91122365,-0.01084334,-0.01709745,0.00004564,-0.00929838
images/texmos3.s512.tiff,AES (Pixel/ECB Mode),1,1.61465667,2.70245500,6.99599939,0.88885623,0.06720374,0.06892800,0.34166266
images/texmos3.s512.tiff,DES (Pixel/ECB Mode),1,0.01548533,0.00000000,6.07137277,0.95898203,0.03482667,0.01271682,0.33550851
