Plik,Algorytm,Przebieg,Czas_Szyfr,Czas_Deszyfr,Entropia,Kor_Poz,Kor_Pion,Kor_Diag,Kor_Srednia
images/white.tiff,ORIGINAL_IMAGE,0,0,0,-0.00000000,NaN,NaN,NaN,NaN
images/white.tiff,DES-CBC (C),1,0.00299433,0.00266100,7.99933463,-0.01038456,0.00526872,-0.00028331,-0.00179972
images/white.tiff,AES-CBC (C),1,0.00020800,0.00005400,7.99927362,0.00928922,0.00103031,0.01210706,0.00747553
images/white.tiff,Blowfish-CBC (C),1,0.00151967,0.00141900,7.99937270,0.00008639,0.00907730,0.01314132,0.00743500
images/white.tiff,ChaCha20 (C),1,0.00009467,0.00004800,7.99937195,0.01361913,0.00679703,-0.01192455,0.00283054
images/white.tiff,DES-CBC (MATLAB*),1,4.13931733,0.01715200,7.99702699,0.00045489,-0.00984209,-0.00294604,-0.00411108
images/white.tiff,AES-CBC (MATLAB*),1,1.65387567,0.05681000,7.99931705,-0.01094850,0.01309788,-0.00434186,-0.00073083
images/white.tiff,Blowfish-CBC (MATLAB*),1,0.94562867,0.01013900,7.99930636,0.01647585,-0.01442109,-0.01859292,-0.00551272
images/white.tiff,ChaCha20 (MATLAB*),1,0.02377933,0.02306800,7.99924162,0.00565992,0.01064964,0.02137545,0.01256167
images/white.tiff,Chaos Circular Shifts (MATLAB),1,0.05537267,0.07614700,7.99925957,0.00120975,-0.03078720,0.01177227,-0.00593506
images/white.tiff,3D-Logistic-Chirikov (MATLAB),1,2.04319500,2.10820000,7.99928504,0.00651252,-0.00547269,-0.00666517,-0.00187511
images/white.tiff,Chaos Bit Shuffling (MATLAB - Orig),1,5.44374467,8.27531900,7.99931618,-0.00792772,-0.00095475,0.02389973,0.00500576
images/white.tiff,Chaos Bit Shuffling (MATLAB* - Opt),1,1.15678100,0.86284700,7.99931618,-0.00154593,-0.01035706,-0.01551474,-0.00913925
images/white.tiff,Hyperchaotic and 2D Sensing (MATLAB*),1,0.07929100,0.00668800,7.99936017,-0.01020339,-0.00413735,-0.00151043,-0.00528372
images/white.tiff,Hu & Tian - Two-Stage Logistic (MATLAB*),1,0.02672600,0.02302100,7.99999999,-0.00406772,0.00972413,-0.01679238,-0.00371199
images/white.tiff,Hyperchaotic Adaptive (MATLAB*),1,0.77596067,0.95205000,0.00029667,NaN,NaN,NaN,NaN
images/white.tiff,AES (Pixel/ECB Mode),1,0.07350600,0.05857800,4.00000000,1.00000000,0.13991613,0.10768190,0.41586601
images/white.tiff,DES (Pixel/ECB Mode),1,0.01568533,0.01762800,3.00000000,1.00000000,0.28639849,0.27595357,0.52078402
