Plik,Algorytm,Przebieg,NPCR_Poczatek,UACI_Poczatek,NPCR_Srodek,UACI_Srodek,NPCR_Koniec,UACI_Koniec
images/white.tiff,DES-CBC (C),1,99.59945679,33.49949407,49.79858398,16.70912948,0.00267029,0.00093198
images/white.tiff,AES-CBC (C),1,99.59068298,33.46497180,49.81155396,16.75545786,0.00610352,0.00197766
images/white.tiff,Blowfish-CBC (C),1,99.59259033,33.50389069,49.81307983,16.72914692,0.00305176,0.00098733
images/white.tiff,ChaCha20 (C),1,0.00038147,0.00000150,0.00038147,0.00000150,0.00038147,0.00000150
images/white.tiff,DES-CBC (MATLAB*),1,99.19481398,33.32296201,49.62324590,16.71331156,0.00607974,0.00222179
images/white.tiff,AES-CBC (MATLAB*),1,99.59526062,33.44551685,49.82414246,16.65541855,0.00610352,0.00238456
images/white.tiff,Blowfish-CBC (MATLAB*),1,99.61395264,33.43486861,49.79476929,16.70822742,0.00305176,0.00131495
images/white.tiff,ChaCha20 (MATLAB*),1,0.00038147,0.00000150,0.00038147,0.00000150,0.00038147,0.00000150
images/white.tiff,Chaos Circular Shifts (MATLAB),1,99.61433411,33.48442377,99.60632324,33.37274439,99.60746765,33.44967262
images/white.tiff,3D-Logistic-Chirikov (MATLAB),1,0.00000000,0.00000000,0.00190735,0.00018550,0.00114441,0.00019597
images/white.tiff,Chaos Bit Shuffling (MATLAB - Orig),1,99.61662292,33.40867435,99.61662292,33.40866538,99.61662292,33.40850082
images/white.tiff,Chaos Bit Shuffling (MATLAB* - Opt),1,99.61662292,33.40867435,99.61662292,33.40867435,99.61662292,33.40866837
images/white.tiff,Hyperchaotic and 2D Sensing (MATLAB*),1,99.66621399,33.47643235,99.62005615,33.49416995,99.89547729,33.32974901
images/white.tiff,Hu & Tian - Two-Stage Logistic (MATLAB*),1,0.00038147,0.00000150,0.00038147,0.00000150,0.00038147,0.00000150
images/white.tiff,Hyperchaotic Adaptive (MATLAB*),1,99.73793030,53.11371598,99.73831177,53.19408342,99.73869324,53.19540136
images/white.tiff,AES (Pixel/ECB Mode),1,0.00610352,0.00119078,0.00572205,0.00193278,0.00610352,0.00164406
images/white.tiff,DES (Pixel/ECB Mode),1,0.00305176,0.00069413,0.00305176,0.00148998,0.00305176,0.00099781
