Image_File,Algorithm,Run_Index,Time_Enc_s,Time_Dec_s,NPCR_percent,UACI_percent,Entropy,Corr_Hor,Corr_Ver,Corr_Diag
cameraman.tif,DES-CBC (C),1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cameraman.tif,AES-CBC (C),1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cameraman.tif,Blowfish-CBC (C),1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cameraman.tif,ChaCha20 (C),1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cameraman.tif,DES-CBC (MATLAB*),1,1.03808500,0.00663700,49.649503,16.624158,7.990307,-0.015959,0.019867,0.030312
cameraman.tif,AES-CBC (MATLAB*),1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cameraman.tif,Blowfish-CBC (MATLAB*),1,0.24793900,0.00817900,50.018311,16.839827,7.997372,0.006573,0.011668,-0.012918
cameraman.tif,ChaCha20 (MATLAB*),1,0.00917200,0.00662300,0.001526,0.000006,7.997349,-0.002079,-0.004917,0.005652
cameraman.tif,Chaos Circular Shifts (MATLAB),1,0.02517700,0.02650300,99.612427,33.533002,7.997179,-0.025039,0.010635,0.011585
cameraman.tif,3D-Logistic-Chirikov (MATLAB),1,0.50731700,0.55373700,0.001526,0.000012,7.997581,0.004649,-0.008359,0.002026
cameraman.tif,Chaos Bit Shuffling (MATLAB - Orig),1,1.29963700,1.70513500,99.574280,33.386440,7.997478,-0.020831,-0.014617,-0.003447
cameraman.tif,Chaos Bit Shuffling (MATLAB* - Opt),1,0.28289500,0.21953500,99.597168,33.527826,7.996615,-0.020778,0.002473,-0.008579
cameraman.tif,Hyperchaotic and 2D Sensing (MATLAB*),1,0.02382000,0.00446800,99.740601,33.387894,7.996667,-0.014295,0.003442,0.024311
cameraman.tif,Hu & Tian - Two-Stage Logistic (MATLAB*),1,0.01693500,0.00895900,0.001526,0.000006,7.997528,0.001817,-0.022233,-0.005723
cameraman.tif,Hyperchaotic Adaptive (MATLAB*),1,0.30713700,0.35046600,99.638367,33.412446,7.984898,-0.002496,-0.004143,0.012115
