Algorithm,Attack_Type,Intensity,PSNR,SSIM,SD
DES-CBC (C),contiguous_crop,0.100000,20.372005,0.892842,1357.559972
DES-CBC (C),contiguous_crop,0.250000,16.065235,0.747562,2139.563001
DES-CBC (C),contiguous_crop,0.500000,12.930697,0.497886,3315.613830
DES-CBC (C),contiguous_crop,0.750000,11.227595,0.251541,4045.634244
DES-CBC (C),crop,0.100000,11.373532,0.072819,14631.025121
DES-CBC (C),crop,0.250000,5.659277,0.000286,4058.450300
DES-CBC (C),crop,0.500000,5.659277,0.000286,4058.450300
DES-CBC (C),crop,0.750000,5.659277,0.000286,4058.450300
DES-CBC (C),tamper,0.100000,19.599322,0.891404,5558.879911
DES-CBC (C),tamper,0.250000,15.456492,0.745168,8812.009894
DES-CBC (C),tamper,0.500000,12.347617,0.494976,12607.724424
DES-CBC (C),tamper,0.750000,10.533426,0.246718,15509.660807
DES-CBC (C),salt_pepper,0.010000,20.138396,0.584973,5552.752296
DES-CBC (C),salt_pepper,0.050000,5.659277,0.000286,4058.450300
DES-CBC (C),salt_pepper,0.100000,5.659277,0.000286,4058.450300
DES-CBC (C),salt_pepper,0.200000,5.659277,0.000286,4058.450300
DES-CBC (C),gaussian,0.000010,5.659277,0.000286,4058.450300
DES-CBC (C),gaussian,0.000100,5.659277,0.000286,4058.450300
DES-CBC (C),gaussian,0.001000,5.659277,0.000286,4058.450300
DES-CBC (C),gaussian,0.010000,5.659277,0.000286,4058.450300
AES-CBC (C),contiguous_crop,0.100000,19.786624,0.890694,1621.081560
AES-CBC (C),contiguous_crop,0.250000,16.411251,0.747455,2281.025549
AES-CBC (C),contiguous_crop,0.500000,13.366332,0.496828,3458.060518
AES-CBC (C),contiguous_crop,0.750000,11.001727,0.250229,4204.517903
AES-CBC (C),crop,0.100000,5.659277,0.000286,4058.450300
AES-CBC (C),crop,0.250000,5.659277,0.000286,4058.450300
AES-CBC (C),crop,0.500000,5.659277,0.000286,4058.450300
AES-CBC (C),crop,0.750000,5.659277,0.000286,4058.450300
AES-CBC (C),tamper,0.100000,19.521923,0.891468,5623.313182
AES-CBC (C),tamper,0.250000,15.422896,0.744619,8867.872404
AES-CBC (C),tamper,0.500000,12.340348,0.493696,12660.965852
AES-CBC (C),tamper,0.750000,10.517321,0.245914,15573.404812
AES-CBC (C),salt_pepper,0.010000,17.192103,0.403939,7647.676946
AES-CBC (C),salt_pepper,0.050000,5.659277,0.000286,4058.450300
AES-CBC (C),salt_pepper,0.100000,5.659277,0.000286,4058.450300
AES-CBC (C),salt_pepper,0.200000,5.659277,0.000286,4058.450300
AES-CBC (C),gaussian,0.000010,5.659277,0.000286,4058.450300
AES-CBC (C),gaussian,0.000100,5.659277,0.000286,4058.450300
AES-CBC (C),gaussian,0.001000,5.659277,0.000286,4058.450300
AES-CBC (C),gaussian,0.010000,5.659277,0.000286,4058.450300
